************************************************************************
        TABLE OF ISOTOPES  0.100E+00  0.100E+03

        NO. SYMBOL T/F MASSNR PROTON
        1100  =  NGIS           5  =  ISOMERS
         537   I 125     T  125.    53.   1
         538   I 126     T  126.    53.   1
         539   I 127     T  127.    53.   1
         540   I 128     T  128.    53.   1
         541   I 129     T  129.    53.   1
         542   I 130     T  130.    53.   1
         543   I 131     T  131.    53.   1
         544   I 132     T  132.    53.   1
         545   I 133     T  133.    53.   1
         546   I 134     T  134.    53.   1
         547   I 135     T  135.    53.   1
         548   XE118     T  118.    54.   1
         549   XE119     T  119.    54.   1
         550   XE120     T  120.    54.   1
         551   XE121     T  121.    54.   1
         552   XE122     T  122.    54.   1
         553   XE123     T  123.    54.   1
         554   XE124     T  124.    54.   1
         555   XE125     T  125.    54.   1
         556   XE126     T  126.    54.   1
         557   XE127     T  127.    54.   1
         558   XE128     T  128.    54.   1
         559   XE129     T  129.    54.   1
         560   XE130     T  130.    54.   1
         561   XE131     T  131.    54.   1
         562   XE132     T  132.    54.   1
         563   XE133     T  133.    54.   1
         564   XE134     T  134.    54.   1
         565   XE135     T  135.    54.   1
         566   XE136     T  136.    54.   1
         567   XE137     T  137.    54.   1
         568   XE138     T  138.    54.   1
         569   CS123     T  123.    55.   1
         570   CS124     T  124.    55.   1
         571   CS125     T  125.    55.   1
         572   CS126     T  126.    55.   1
         573   CS127     T  127.    55.   1
         574   CS128     T  128.    55.   1
         575   CS129     T  129.    55.   1
         576   CS130     T  130.    55.   1
         577   CS131     T  131.    55.   1
         578   CS132     T  132.    55.   1
         579   CS133     T  133.    55.   1
         580   CS134     T  134.    55.   1
         581   CS135     T  135.    55.   1
         582   CS136     T  136.    55.   1
         583   CS137     T  137.    55.   1
         584   CS138     T  138.    55.   1
         585   CS139     T  139.    55.   1
         586   BA124     T  124.    56.   1
         587   BA125     T  125.    56.   1
         588   BA126     T  126.    56.   1
         589   BA127     T  127.    56.   1
         590   BA128     T  128.    56.   1
         591   BA129     T  129.    56.   1
         592   BA130     T  130.    56.   1
         593   BA131     T  131.    56.   1
         594   BA132     T  132.    56.   1
         595   BA133     T  133.    56.   1
         596   BA134     T  134.    56.   1
         597   BA135     T  135.    56.   1
         598   BA136     T  136.    56.   1
         599   BA137     T  137.    56.   1
         600   BA138     T  138.    56.   1
         601   BA139     T  139.    56.   1
         602   BA140     T  140.    56.   1
         603   BA141     T  141.    56.   1
         604   BA142     T  142.    56.   1
         605   LA127     T  127.    57.   1
         606   LA128     T  128.    57.   1
         607   LA129     T  129.    57.   1
         608   LA130     T  130.    57.   1
         609   LA131     T  131.    57.   1
         610   LA132     T  132.    57.   1
         611   LA133     T  133.    57.   1
         612   LA134     T  134.    57.   1
         613   LA135     T  135.    57.   1
         614   LA136     T  136.    57.   1
         615   LA137     T  137.    57.   1
         616   LA138     T  138.    57.   1
         617   LA139     T  139.    57.   1
         618   LA140     T  140.    57.   1
         619   LA141     T  141.    57.   1
         620   LA142     T  142.    57.   1
         621   LA143     T  143.    57.   1
         622   CE130     T  130.    58.   1
         623   CE131     T  131.    58.   1
         624   CE132     T  132.    58.   1
         625   CE133     T  133.    58.   1
         626   CE134     T  134.    58.   1
         627   CE135     T  135.    58.   1
         628   CE136     T  136.    58.   1
         629   CE137     T  137.    58.   1
         630   CE138     T  138.    58.   1
         631   CE139     T  139.    58.   1
         632   CE140     T  140.    58.   1
         633   CE141     T  141.    58.   1
         634   CE142     T  142.    58.   1
         635   CE143     T  143.    58.   1
         636   CE144     T  144.    58.   1
         637   CE145     T  145.    58.   1
         638   CE146     T  146.    58.   1
         639   PR133     T  133.    59.   1
         640   PR134     T  134.    59.   1
         641   PR135     T  135.    59.   1
         642   PR136     T  136.    59.   1
         643   PR137     T  137.    59.   1
         644   PR138     T  138.    59.   1
         645   PR139     T  139.    59.   1
         646   PR140     T  140.    59.   1
         647   PR141     T  141.    59.   1
         648   PR142     T  142.    59.   1
         649   PR143     T  143.    59.   1
         650   PR144     T  144.    59.   1
         651   PR145     T  145.    59.   1
         652   PR146     T  146.    59.   1
         653   PR147     T  147.    59.   1
         654   PR148     T  148.    59.   1
         655   PR149     T  149.    59.   1
         656   ND134     T  134.    60.   1
         657   ND135     T  135.    60.   1
         658   ND136     T  136.    60.   1
         659   ND137     T  137.    60.   1
         660   ND138     T  138.    60.   1
