 initial abundance for selected isotopes
  576   0.00000E+00  CS130
  577   0.00000E+00  CS131
  578   0.00000E+00  CS132
  579   0.00000E+00  CS133
  580   0.00000E+00  CS134
  581   0.00000E+00  CS135
  582   0.00000E+00  CS136
  583   0.00000E+00  CS137
  584   0.00000E+00  CS138
  585   0.00000E+00  CS139
  586   0.00000E+00  BA124
  587   0.00000E+00  BA125
  588   0.00000E+00  BA126
  589   0.00000E+00  BA127
  590   0.00000E+00  BA128
  591   0.00000E+00  BA129
  592   0.00000E+00  BA130
  593   0.00000E+00  BA131
  594   0.00000E+00  BA132
  595   0.00000E+00  BA133
  596   0.00000E+00  BA134
  597   0.00000E+00  BA135
  598   0.00000E+00  BA136
  599   0.00000E+00  BA137
  600   0.00000E+00  BA138
  601   0.00000E+00  BA139
  602   0.00000E+00  BA140
  603   0.00000E+00  BA141
  604   0.00000E+00  BA142
  605   0.00000E+00  LA127
  606   0.00000E+00  LA128
  607   0.00000E+00  LA129
  608   0.00000E+00  LA130
  609   0.00000E+00  LA131
  610   0.00000E+00  LA132
  611   0.00000E+00  LA133
  612   0.00000E+00  LA134
  613   0.00000E+00  LA135
  614   0.00000E+00  LA136
  615   0.00000E+00  LA137
  616   0.00000E+00  LA138
  617   0.00000E+00  LA139
  618   0.00000E+00  LA140
  619   0.00000E+00  LA141
  620   0.00000E+00  LA142
  621   0.00000E+00  LA143
  622   0.00000E+00  CE130
  623   0.00000E+00  CE131
  624   0.00000E+00  CE132
  625   0.00000E+00  CE133
  626   0.00000E+00  CE134
  627   0.00000E+00  CE135
  628   0.00000E+00  CE136
  629   0.00000E+00  CE137
  630   0.00000E+00  CE138
  631   0.00000E+00  CE139
  632   0.00000E+00  CE140
  633   0.00000E+00  CE141
  634   0.00000E+00  CE142
  635   0.00000E+00  CE143
  636   0.00000E+00  CE144
  637   0.00000E+00  CE145
  638   0.00000E+00  CE146
  639   0.00000E+00  PR133
  640   0.00000E+00  PR134
  641   0.00000E+00  PR135
  642   0.00000E+00  PR136
  643   0.00000E+00  PR137
  644   0.00000E+00  PR138
  645   0.00000E+00  PR139
  646   0.00000E+00  PR140
